,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Down,Aroon Up
2008-07-31,20.1941,162.2,156.98,22767800.0,153.1831,167.3805,181.5779,165.4056,41.9292,44.5489,41.3901,1546828469.7337,2032084155.0,50.0,7.1429
2008-08-01,19.9031,159.99,155.75,19451400.0,151.8334,166.7075,181.5816,164.5726,43.4573,48.1574,39.5174,1535726491.4318,2012632755.0,42.8571,0.0
2008-08-04,19.4674,157.9,152.91,21161700.0,150.1685,165.611,181.0535,163.4924,41.375,31.4187,36.8295,1517278917.2835,1991471055.0,35.7143,14.2857
2008-08-05,20.4088,160.8,154.82,24584700.0,150.4889,164.6655,178.8421,163.2207,39.9453,40.2598,45.4602,1540548048.0528,2016055755.0,28.5714,7.1429
2008-08-06,20.8598,167.4,158.0,28264600.0,150.6852,164.1625,177.6398,163.313,42.1705,54.833,49.0516,1549508527.6272,2044320355.0,21.4286,0.0
2008-08-07,20.781,166.15,161.5,24013300.0,151.3064,163.5095,175.7126,163.3375,57.7668,78.2075,48.4515,1546874810.8531,2020307055.0,14.2857,0.0
2008-08-08,21.5408,169.65,163.75,25499900.0,151.54,163.358,175.176,163.9292,72.2154,83.6058,54.2633,1571510307.4632,2045806955.0,7.1429,100.0
2008-08-11,22.0502,176.5,169.67,31832300.0,151.5803,163.342,175.1037,164.8464,82.7611,86.4699,57.7067,1575937933.3783,2077639255.0,0.0,100.0
2008-08-12,22.453,179.29,173.51,29867100.0,150.8221,163.6965,176.5709,165.9782,87.116,91.2724,60.2542,1579348363.4821,2107506355.0,57.1429,100.0
2008-08-13,22.7795,180.0,175.9,30083800.0,149.9707,164.021,178.0713,167.2469,89.3175,90.2103,62.24,1599159646.4089,2137590155.0,50.0,100.0
2008-08-14,22.782,180.45,177.84,25403600.0,149.1805,164.3965,179.6125,168.3967,91.3193,92.4751,62.2558,1602566259.4358,2162993755.0,42.8571,100.0
2008-08-15,22.3272,179.75,175.05,25294700.0,148.9252,164.926,180.9268,169.0961,88.2016,81.9192,57.6078,1584698513.9038,2137699055.0,35.7143,92.8571
2008-08-18,22.2827,177.81,173.82,19714800.0,148.746,165.381,182.016,169.6955,77.7571,58.8769,57.1585,1580498619.167,2117984255.0,28.5714,85.7143
2008-08-19,22.0464,177.07,171.81,22007300.0,149.0325,165.9565,182.8805,170.0607,58.4104,34.4349,54.7162,1572883926.0111,2095976955.0,21.4286,78.5714
2008-08-20,22.3399,176.94,173.61,18105400.0,148.9706,166.4355,183.9004,170.6111,41.5084,31.2134,57.1642,1579027800.4856,2114082355.0,14.2857,71.4286
2008-08-21,22.143,175.45,171.89,19276600.0,149.7611,167.1985,184.6359,170.9615,32.7478,32.5951,55.0151,1585742121.8339,2094805755.0,7.1429,64.2857
2008-08-22,22.4606,177.5,175.57,15700400.0,150.1794,167.932,185.6846,171.5166,39.1448,53.6259,57.7726,1589890932.1966,2110506155.0,0.0,57.1429
2008-08-25,21.9219,176.23,171.66,17300900.0,152.1212,168.8395,185.5578,171.615,43.1263,43.158,51.9557,1579328675.9603,2093205255.0,0.0,50.0
