,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Up,Aroon Down
2008-08-01,234.6544,473.22,462.5,6009700.0,445.1936,504.485,563.7764,498.5075,30.1518,23.2896,35.6599,169915716.5707,1129550700.0,0.0,100.0
2008-08-04,232.2168,473.01,461.9,4969000.0,441.4197,500.4395,559.4593,495.1258,21.2037,11.0336,34.4169,165930676.9667,1124581700.0,14.2857,100.0
2008-08-05,240.6679,480.08,466.33,7161800.0,442.602,496.7055,550.809,493.671,22.2046,32.2904,41.9698,172852882.2031,1131743500.0,7.1429,92.8571
2008-08-06,243.923,489.77,472.51,6744800.0,443.7853,493.945,544.1047,492.9728,32.9358,55.4833,44.6155,176916956.363,1138488300.0,0.0,85.7143
2008-08-07,240.3018,484.0,476.41,5542000.0,445.1843,490.8725,536.5607,491.6535,54.1356,74.6331,42.3047,175332484.6898,1132946300.0,0.0,78.5714
2008-08-08,248.2714,495.75,475.69,7471100.0,447.6143,488.933,530.2517,491.9731,70.8492,82.4312,48.6127,182252376.9131,1140417400.0,14.2857,71.4286
2008-08-11,251.1954,508.88,491.78,8470100.0,448.9378,487.894,526.8502,492.8176,79.0998,80.2351,50.7407,182757610.9482,1148887500.0,100.0,64.2857
2008-08-12,252.0832,506.13,498.0,5505800.0,449.8024,487.22,524.6376,493.7502,83.2975,87.2263,51.3988,183495780.9359,1154393300.0,92.8571,57.1429
2008-08-13,250.7892,503.54,493.88,7243700.0,454.5851,485.4415,516.2979,494.3483,82.1761,79.0668,50.3431,185475425.6564,1147149600.0,85.7143,50.0
2008-08-14,253.5276,507.61,496.29,5831300.0,460.2969,484.044,507.7911,495.4094,82.7513,81.9606,52.5636,189122563.8189,1152980900.0,78.5714,42.8571
2008-08-15,255.8648,510.66,505.5,7084300.0,459.2094,485.4855,511.7616,496.8133,82.6114,86.8067,54.4363,194806478.9352,1160065200.0,100.0,35.7143
2008-08-18,249.9215,510.0,495.5101,6661100.0,461.2916,486.9605,512.6294,496.9549,79.9698,71.1419,49.1253,190710448.7963,1153404100.0,92.8571,28.5714
2008-08-19,246.0094,498.28,486.63,6086900.0,462.3279,487.63,512.9321,496.3401,68.1767,46.5815,45.9476,188667549.3113,1147317200.0,85.7143,21.4286
2008-08-20,243.2509,496.69,482.5701,7956200.0,462.1031,487.419,512.7349,495.2601,44.9185,17.0321,43.7963,183449721.4499,1139361000.0,78.5714,14.2857
2008-08-21,244.0183,489.8999,479.27,7021100.0,463.2254,487.9645,512.7036,494.4287,26.5249,15.9612,44.5737,186019151.1821,1146382100.0,71.4286,7.1429
2008-08-22,246.0545,494.876,489.48,4589800.0,463.1937,487.895,512.5963,494.0631,18.6217,22.8719,46.6814,183317667.7128,1150971900.0,64.2857,0.0
2008-08-25,242.2528,497.0,481.5,4024500.0,463.8716,488.1895,512.5074,493.0104,21.7932,26.5464,43.3658,180077296.0999,1146947400.0,57.1429,0.0
