,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowK,SlowD,RSI,Chaikin A/D,OBV,Aroon Up,Aroon Down
2008-07-31,50.6768,58.36,57.56,2856548.0,49.6813,54.2225,58.7637,54.8852,81.2704,61.8607,65.2386,153562662.5955,-12506967.0,85.7143,0.0
2008-08-01,50.7382,58.18,57.56,2296941.0,49.8237,54.5145,59.2053,55.1704,75.2986,72.7064,65.4564,153636757.4664,-10210026.0,78.5714,0.0
2008-08-04,50.7207,58.1,57.62,1684557.0,49.9865,54.7875,59.5885,55.4266,60.7714,72.4468,65.3304,153636757.4664,-11894583.0,71.4286,0.0
2008-08-05,51.159,58.57,57.58,1970197.0,50.1934,55.091,59.9886,55.7059,62.5812,66.217,67.038,154771113.3149,-9924386.0,64.2857,0.0
2008-08-06,51.3343,58.83,57.87,2323268.0,50.6196,55.445,60.2704,55.9778,63.855,62.4025,67.7228,155787543.0649,-7601118.0,57.1429,50.0
2008-08-07,51.0976,58.62,58.04,1875560.0,51.0119,55.749,60.4861,56.198,71.8095,66.0819,65.7372,155528845.1339,-9476678.0,50.0,42.8571
2008-08-08,50.633,58.04,56.65,4231800.0,51.581,56.043,60.505,56.3467,62.3793,66.0146,61.9007,158055747.2922,-13708478.0,42.8571,35.7143
2008-08-11,50.2999,57.96,57.14,2430067.0,52.3896,56.3415,60.2934,56.4451,47.2947,60.4945,59.2316,157048158.5361,-16138545.0,35.7143,28.5714
2008-08-12,50.2122,57.52,56.94,2359121.0,53.2743,56.62,59.9657,56.5247,37.7676,49.1472,58.5165,157454903.5361,-18497666.0,28.5714,21.4286
2008-08-13,50.2298,57.51,56.79,922506.0,53.6119,56.7755,59.9391,56.5985,31.7934,38.9519,58.6241,157839281.0361,-17575160.0,21.4286,14.2857
2008-08-14,50.2648,57.87,57.18,1548899.0,53.7651,56.8725,59.9799,56.6691,37.1781,35.5797,58.8539,157008712.0071,-16026261.0,14.2857,7.1429
2008-08-15,49.7476,56.87,56.41,2272604.0,53.8997,56.938,59.9763,56.6768,34.8569,34.6095,54.0818,158095609.5723,-18298865.0,7.1429,0.0
2008-08-18,49.2567,56.73,56.05,1436949.0,53.9255,56.95,59.9745,56.6305,26.4227,32.8192,49.9425,157250345.4547,-19735814.0,0.0,100.0
2008-08-19,49.1165,56.11,55.52,1105243.0,53.93,56.952,59.974,56.5733,17.11,26.1299,48.7934,158055861.5394,-20841057.0,35.7143,100.0
2008-08-20,48.8622,56.03,55.32,1345404.0,54.0283,56.984,59.9397,56.4939,15.2883,19.607,46.6963,158302203.1169,-22186461.0,28.5714,100.0
2008-08-21,49.0989,56.14,55.43,1238025.0,54.3093,57.0635,59.8177,56.4478,27.5629,19.9871,48.8985,159086866.8493,-20948436.0,21.4286,92.8571
2008-08-22,49.1954,56.43,55.79,2258418.0,54.7494,57.169,59.5886,56.4166,39.2414,27.3642,49.8082,159157442.4118,-18690018.0,14.2857,85.7143
2008-08-25,48.8359,56.3,55.47,1060269.0,55.3034,57.2685,59.2336,56.3493,45.463,37.4224,46.4862,158710341.0262,-19750287.0,7.1429,78.5714
2008-08-26,48.8885,56.17,55.38,1448137.0,55.2049,57.108,59.0111,56.2941,44.1378,42.9474,47.0428,158692010.1781,-18302150.0,0.0,71.4286
2008-08-27,48.9411,56.065,55.68,1527981.0,55.0661,56.9985,58.9309,56.2499,39.5109,43.0372,47.6295,158354663.7236,-16774169.0,0.0,64.2857
2008-08-28,49.4759,56.77,56.29,1469574.0,55.0205,56.93,58.8395,56.268,53.2189,45.6225,53.2944,157803573.4736,-15304595.0,0.0,57.1429
2008-08-29,49.1603,56.35,55.79,729769.0,54.9485,56.84,58.7315,56.2501,56.4919,49.7406,49.8662,157829636.6521,-16034364.0,0.0,50.0
2008-09-02,48.5028,56.23,55.23,1443126.0,54.774,56.7135,58.653,56.1625,44.3707,51.3605,43.5771,156675135.8521,-17477490.0,14.2857,100.0
2008-09-03,49.0288,56.04,55.52,1560368.0,54.7801,56.592,58.4039,56.1404,34.1026,44.9884,49.107,157575348.1598,-15917122.0,7.1429,92.8571
2008-09-04,48.1259,55.66,54.54,3402239.0,54.6923,56.409,58.1257,56.0222,22.6972,33.7235,41.5742,156360262.8027,-19319361.0,0.0,100.0
2008-09-05,47.5123,54.27,53.41,3184000.0,54.4586,56.2045,57.9504,55.8487,29.4896,28.7631,37.3778,159025937.2213,-22503361.0,0.0,100.0
2008-09-08,47.2317,54.5,53.29,2090656.0,54.1412,56.0105,57.8798,55.6612,21.0274,24.4047,35.6084,158974102.775,-24594017.0,57.1429,100.0
2008-09-09,45.8467,53.21,52.3,2823586.0,53.3869,55.7565,58.1261,55.3411,15.6463,22.0544,28.4476,156150516.775,-27417603.0,50.0,100.0
2008-09-10,45.7503,52.82,52.05,1500845.0,52.7752,55.502,58.2288,55.041,7.982,14.8852,28.025,155195433.5932,-28918448.0,42.8571,100.0
2008-09-11,46.3376,52.94,50.89,4258128.0,52.4537,55.28,58.1063,54.8333,19.4829,14.3704,34.415,159121219.8956,-24660320.0,35.7143,100.0
2008-09-12,46.6269,53.4,52.33,3029080.0,52.2724,55.0725,57.8726,54.6768,40.7202,22.7284,37.3646,160961315.2227,-21631240.0,28.5714,92.8571
2008-09-15,47.3545,54.5,53.07,5223685.0,52.2112,54.936,57.6608,54.6142,68.3287,42.844,44.1661,162678190.7122,-16407555.0,21.4286,85.7143
2008-09-16,49.432,56.54,55.09,8446892.0,52.2014,54.946,57.6906,54.7833,82.5869,63.8786,58.143,169377449.8847,-7960663.0,14.2857,78.5714
